epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,124.494,0.76934,0.45981,1.03322,0.98734,0.99512,0.995,0.68265,1.16675,0.46717,1.32008,0.000462281,0.000462281,0.000462281
43,127.903,0.79175,0.44694,1.10368,0.98094,0.96319,0.99197,0.67475,1.18291,0.4643,1.33258,0.000438703,0.000438703,0.000438703
44,130.83,0.81327,0.44055,1.04863,0.97501,0.9603,0.99197,0.67185,1.19441,0.48277,1.34451,0.000415124,0.000415124,0.000415124
45,133.424,0.74732,0.40279,1.01248,0.98446,0.96667,0.99197,0.68138,1.18957,0.483,1.33012,0.000391546,0.000391546,0.000391546
46,135.945,0.7963,0.42153,1.05117,0.98713,0.96667,0.98944,0.68176,1.16522,0.51106,1.32113,0.000367967,0.000367967,0.000367967
47,138.35,0.74188,0.38981,1.01398,0.9908,0.96667,0.98944,0.68114,1.15314,0.49478,1.33463,0.000344389,0.000344389,0.000344389
48,141.911,0.7095,0.38317,1.018,0.99028,0.96667,0.98944,0.69264,1.14038,0.49914,1.31437,0.00032081,0.00032081,0.00032081
49,144.442,0.73218,0.38198,1.01906,0.98804,0.96667,0.98944,0.69501,1.16904,0.50626,1.3266,0.000297232,0.000297232,0.000297232
50,147.04,0.67708,0.35619,0.98478,0.98854,0.96667,0.98944,0.70765,1.17666,0.47218,1.33506,0.000273654,0.000273654,0.000273654
51,157.205,0.65449,0.35722,0.99685,0.99038,0.96667,0.98944,0.6811,1.19358,0.47482,1.36906,0.000250075,0.000250075,0.000250075
52,161.508,0.67776,0.36201,0.97215,0.98805,0.96667,0.98731,0.66193,1.19684,0.48119,1.3965,0.000226497,0.000226497,0.000226497
53,164.595,0.62697,0.33862,1.02206,0.99071,0.96667,0.98731,0.67603,1.17241,0.47108,1.36498,0.000202918,0.000202918,0.000202918
54,168.59,0.62554,0.33852,0.95645,0.98824,0.96667,0.98389,0.68635,1.15653,0.46354,1.34779,0.00017934,0.00017934,0.00017934
55,171.383,0.60685,0.32531,0.93647,0.98996,0.96667,0.98548,0.67939,1.16484,0.46544,1.35077,0.000155761,0.000155761,0.000155761
56,173.827,0.60946,0.3239,0.97739,0.98946,0.96667,0.98731,0.68388,1.15979,0.46876,1.343,0.000132183,0.000132183,0.000132183
57,176.31,0.61682,0.33403,0.96375,0.99212,0.96667,0.98731,0.67198,1.16147,0.47328,1.34346,0.000108604,0.000108604,0.000108604
58,179.177,0.56733,0.29107,0.93505,0.99158,0.96667,0.98731,0.68584,1.16904,0.48859,1.35187,8.50255e-05,8.50255e-05,8.50255e-05
59,182.211,0.57692,0.30702,0.96091,0.99058,0.96667,0.98944,0.69057,1.16945,0.48016,1.35222,6.1447e-05,6.1447e-05,6.1447e-05
60,184.851,0.54598,0.29154,0.91775,0.98992,0.96667,0.98944,0.69049,1.16928,0.47215,1.34836,3.78685e-05,3.78685e-05,3.78685e-05
