epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,149.923,0.67516,0.41462,0.96405,0.93541,0.94338,0.97998,0.78515,0.81527,0.45132,0.98682,0.000462281,0.000462281,0.000462281
43,153.819,0.65909,0.39257,0.97507,0.94433,0.97162,0.98239,0.79269,0.80829,0.43223,0.9807,0.000438703,0.000438703,0.000438703
44,156.81,0.69095,0.4351,0.99529,0.93914,0.94872,0.96427,0.77974,0.82228,0.46678,0.98525,0.000415124,0.000415124,0.000415124
45,159.863,0.66446,0.40312,0.9701,0.96259,0.92317,0.96504,0.76761,0.85514,0.49904,0.99437,0.000391546,0.000391546,0.000391546
46,162.898,0.66259,0.41621,0.96812,0.98746,0.89744,0.95952,0.7613,0.87737,0.50463,1.00298,0.000367967,0.000367967,0.000367967
47,166.86,0.62597,0.39952,0.95468,0.98626,0.90557,0.9683,0.77946,0.83316,0.47787,1.00111,0.000344389,0.000344389,0.000344389
48,169.987,0.63592,0.39189,0.97065,0.90869,0.96162,0.97534,0.78774,0.81676,0.44538,1.0081,0.00032081,0.00032081,0.00032081
49,172.961,0.59547,0.37506,0.95366,0.91193,0.97126,0.97668,0.78704,0.80539,0.43937,1.01538,0.000297232,0.000297232,0.000297232
50,176.171,0.62104,0.37537,0.95499,0.91812,0.97039,0.98302,0.7939,0.79684,0.44352,1.01057,0.000273654,0.000273654,0.000273654
51,188.577,0.61002,0.4089,0.92998,0.93685,0.95046,0.98471,0.77876,0.80931,0.44857,1.00275,0.000250075,0.000250075,0.000250075
52,194.88,0.55876,0.34723,0.90275,0.96024,0.93185,0.98096,0.77862,0.82487,0.43042,1.01685,0.000226497,0.000226497,0.000226497
53,199.466,0.54136,0.33217,0.89198,0.99277,0.96469,0.98763,0.78285,0.79959,0.4229,1.00966,0.000202918,0.000202918,0.000202918
54,203.192,0.52841,0.32245,0.86211,0.99042,0.94872,0.98596,0.78647,0.80769,0.42582,1.01781,0.00017934,0.00017934,0.00017934
55,207.187,0.52104,0.31136,0.88999,0.97585,0.91366,0.98136,0.78481,0.81655,0.44572,1.02296,0.000155761,0.000155761,0.000155761
56,210.197,0.50093,0.30432,0.87845,0.95913,0.90836,0.97778,0.79313,0.80817,0.445,1.01878,0.000132183,0.000132183,0.000132183
57,213.074,0.49532,0.30464,0.88334,0.9568,0.90653,0.97944,0.8029,0.80508,0.44402,1.01604,0.000108604,0.000108604,0.000108604
58,216.462,0.49451,0.29484,0.87459,0.95541,0.90734,0.9749,0.79535,0.80222,0.45581,1.01419,8.50255e-05,8.50255e-05,8.50255e-05
59,220.071,0.49265,0.28599,0.85583,0.95419,0.90804,0.97151,0.79299,0.80501,0.47016,1.01277,6.1447e-05,6.1447e-05,6.1447e-05
60,223.028,0.4868,0.29454,0.86434,0.95366,0.90896,0.97033,0.77849,0.80682,0.47407,1.01311,3.78685e-05,3.78685e-05,3.78685e-05
